key,title,summary,ai_use,proof,status,format,local_path,drive_url,next_step
pondicherry,Pondicherry Earthquake Velocity Workflow,"A Jupyter seismic workflow for Pondicherry/Tamil Nadu earthquakes: IRIS/USGS catalog search, station matching, ObsPy waveform download, P-wave picking, distance and velocity calculations, and mapping.","AI helps explain notebook cells, refactor the workflow, summarize outputs, and turn the notebook into a reusable app or presentation section.","VelocityAnalysisPalkStraight.ipynb plus companion Seismic Constraints notebook.",High-priority highlight,Jupyter notebook,"C:\Users\gargi\Downloads\VelocityAnalysisPalkStraight.ipynb",,"Turn the notebook outputs into a clean Streamlit case-study page with map, waveform, table, and explanation."
pondicherry_aquifer,Seismic Constraints On Aquifer Potential,"A polished companion notebook/report framing Pondicherry seismic velocity analysis around under-monitored crystalline aquifer potential.","AI helps connect waveform processing, map context, and hydrogeologic interpretation into a research narrative.","Seismic Constraints notebook and related PDFs in Downloads.",Strong highlight,Jupyter notebook,"C:\Users\gargi\Downloads\Seismic Constraints on Aquifer Potential in Under-Monitored Crystalline Terrains of Pondicherry, India (1).ipynb",,"Use as the research-facing version of the Pondicherry workflow."
north_slope,North Slope Gas Hydrate Atlas,"A public-source regional atlas for Alaska North Slope geoscience with GIS layers, structural scenes, a data library, research framework, and synthetic well-log planning scaffold.","AI helps organize public-source layers, create Streamlit views, write project documentation, synthesize source-library material, and scaffold paper/deck outputs.","north-slope-gas-hydrates Streamlit app, Plotly scenes, docs, source manifest, and presentation scaffold.",High-priority highlight,Streamlit app,"C:\Users\gargi\Documents\Next level productivity\Gas hydrates unclassified info\north-slope-gas-hydrates",,"Capture app screenshots and select one structural explorer visual as the lead image."
north_slope_presentation,North Slope Wireline ML Presentation Scaffold,"A PowerPoint-oriented scaffold for explaining Alaska North Slope wireline ML classification methods and project architecture.","AI helps translate research material into a presentation outline, methods structure, and deck-ready sections.","Alaska_North_Slope_Wireline_ML_Presentation_Scaffold_outline.pptx and project blueprint docs.",High-priority highlight,PowerPoint scaffold,"C:\Users\gargi\Downloads\Alaska_North_Slope_Wireline_ML_Presentation_Scaffold_outline.pptx",,"Use as proof that the workflow can produce decks, not only analysis files."
gas_hydrate_synthesis,Gas Hydrate Manuscript Synthesis,"A source-to-manuscript workflow around gas hydrate systems, geomechanics, wireline logging, productivity, and ML framework documents.","AI helps reorganize large PDF/source collections, preserve tables, draft manuscript sections, and compare concepts across documents.","Gas hydrate master documents, Geomechanical relationship doc, PDF notes, source library, and manuscript drafts.",High-priority highlight,Research writing workflow,"C:\Users\gargi\Downloads\Gas_Hydrate_Systems_TRUE_MASTER_DOCUMENT_Rohan.docx","https://docs.google.com/document/d/1UDGUQI6pGWXPkzJebWs2-Kstrl_oLUO_5I0378oVEgE","Add a before/after example showing source notes becoming a manuscript section."
stock_dashboard,Stock Research Dashboard,"A private local Streamlit dashboard for stock research with GitHub Actions pipeline sync, model baselines, ranked watchlists, 3D stock maps, and local database export.","AI helps build a durable pipeline, explain model outputs, add dashboard controls, validate workflow safety, and document what each research signal means.","stockprediction2025 dashboard app, pipeline scripts, dashboard database, and README.",Strong highlight,Streamlit app,"C:\Users\gargi\Downloads\stockprediction2025",,"Use it as a software/pipeline case study rather than a finance recommendation."
stock_notebook,Stock Prediction Notebook Pipeline,"A notebook-centered stock research pipeline that feeds the dashboard with feature extraction, filtering, model baselines, and watchlist artifacts.","AI helps refactor exploratory notebooks into repeatable scripts and dashboard-ready outputs.","2025summerstock-Copy6.ipynb plus stockprediction2025 scripts and dashboard outputs.",Supporting code project,Jupyter notebook,"C:\Users\gargi\Downloads\stockprediction2025\notebook\2025summerstock-Copy6.ipynb",,"Show how a messy notebook becomes a more reliable app pipeline."
thesis_knowledge_graph,Thesis Knowledge Graph And REE Presentation,"A thesis presentation and video around REE/geochemistry knowledge graph work, Mt Pass/Bayan Obo materials, and Gephi node/edge exports.","AI helps convert thesis notes, references, and structured graph files into explainable visual narrative.","Thesis Ch.1 Presentation, local PPTX, Rohan_Nanda_ThesisCH1_REEKnowledgeGraph.mp4, Gephi CSVs.",High-priority highlight,Google Slides / video,"C:\Users\gargi\Downloads\Thesis Ch.1 Presentation.pptx","https://docs.google.com/presentation/d/1gJeJLNLMWuDrnaPn9hUNj6kvtGLy8X93YEkALhroWLc","Extract 2-3 graph visuals and one slide sequence as portfolio evidence."
advgis_final,ADVGIS Final And ArcGIS Figures,"A geospatial presentation and figure collection showing advanced GIS, spatial analysis, and cartographic outputs.","AI helps connect screenshots, ArcGIS/QGIS notebooks, Drive figures, and project explanations into a clear GIS portfolio story.","ADVGIS Final Drive deck, ArcGIS_Figures folder, GIS_layers folder, local ArcGIS notebooks.",High-priority highlight,Google Slides / GIS assets,"C:\Users\gargi\OneDrive\Documents\ArcGIS\Projects\Gis final\New Notebook (21).ipynb","https://docs.google.com/presentation/d/1hhBL8bDuMQZgvZynY7m17sjDOzowtZk9fN_ZyHi5-ig","Pick representative figures and pair each with the notebook or processing step that made it."
exploration_seismology,Exploration Seismology Final Land Data,"A geophysical presentation set around exploration seismology land data, homework artifacts, and seismic interpretation workflows.","AI helps summarize methods, turn class/report outputs into portfolio explanations, and connect seismic concepts to later notebooks.","Exploration Seismology Final Land Data PPTX/PDF and Drive deck.",Strong supporting highlight,Presentation + PDF,"C:\Users\gargi\Downloads\Exploration Seismology FInal Land data.pptx","https://docs.google.com/presentation/d/1DwJ6SYkXptmYenoTOY64plNg15kE57fknS9l7wm3sQo","Use as background evidence for seismic competence alongside the Pondicherry notebook."
valles_caldera,Valles Caldera / SAGE Geophysics,"A Valles Caldera geoscience project area with ArcGIS notebook work and SAGE-related presentation materials.","AI helps summarize geophysical field data, maps, and presentation assets into a coherent project card.","VallesCaldera_SAGE22.pptx in Drive and local ArcGIS vallescaldera notebook.",Supporting highlight,Notebook + presentation,"C:\Users\gargi\Documents\ArcGIS\Projects\vallescaldera\New Notebook.ipynb","https://drive.google.com/file/d/1YKArFK7CTDESPgT2De1jeiGCOKSuDdRk","Confirm the best screenshots/maps and connect them to the SAGE fieldwork story."
cmip6_climate,CMIP6 Climate Downscaling And Heat Index,"A climate data workflow using CMIP6, ensemble means, downscaling, local bias correction, heat-index calculations, xarray, and ML/data-science tooling.","AI helps explain climate notebooks, compare model outputs, and convert analysis steps into a reader-friendly workflow.","CMIP6-HeatIndex.ipynb, CMIP6ensembleMean notebooks, Downscaling notebooks.",Strong code project,Jupyter notebook,"C:\Users\gargi\Downloads\CMIP6-HeatIndex.ipynb",,"Create a climate workflow card with inputs, processing, and output maps/charts."
opera_s3,OPERA S3 Direct Access Notebook,"A cloud/data-access notebook showing direct S3 access patterns for OPERA-style geospatial data workflows.","AI helps document cloud data access, credential-safe patterns, and how remote data can feed local analysis.","S3_Direct_Access.ipynb.",Supporting code project,Jupyter notebook,"C:\Users\gargi\Downloads\S3_Direct_Access.ipynb",,"Use this as the cloud-data ingestion example in the AI workflow architecture."
arcgis_raster_ml,ArcGIS Raster / Lithology ML Workflow,"A cluster of ArcGIS and raster notebooks for composite rasters, depth slices, lithology/facies style modeling, and spatial data processing.","AI helps troubleshoot geospatial processing, explain raster pipelines, and turn notebook experiments into repeatable workflows.","ArcGIS final notebooks, arcgisfinaldenistytry1.ipynb, lithfinal.ipynb, QGIS screenshots.",Strong code project,Jupyter / ArcGIS notebooks,"C:\Users\gargi\Downloads\arcgisfinaldenistytry1.ipynb",,"Split into one clean GIS processing card after selecting the strongest notebook/screenshots."
processing_visuals,Processing Scientific Visualization Sketches,"Creative coding sketches for Earth layers, geophysical radial maps, magnetic field/plasma/solar flare/tectonics visuals.","AI helps explain scientific visual metaphors and potentially translate Processing sketches into web visuals or deck figures.","Processing sketchbook files under OneDrive Documents Processing.",Supporting visual code project,Processing sketches,"C:\Users\gargi\OneDrive\Documents\Processing\sketch_241101a\sketch_241101a.pde",,"Use as the visual-thinking origin story before the larger dashboards."
portfolio_profile,Portfolio And Professional Profile Decks,"Existing profile and portfolio decks that provide older visual identity, resume framing, and project packaging examples.","AI helps mine older decks for reusable positioning, project language, and visual sections for the new website/deck.","Professional profile.pptx, Portfolio Google Slides, LinkedIn profile PDF/text.",Supporting evidence pool,PowerPoint / Google Slides,"C:\Users\gargi\Downloads\Profile.pdf","https://docs.google.com/presentation/d/12VQ3UmbTK3TGwnl8ezYRRo_Troyx0oibhunt6jvUpQs","Use only the strongest identity/project framing so the final site stays focused."
rock_classification,Rock Classification And Geochemistry Visuals,"A geochemistry and petrography evidence set with chemical classification visuals, thin-section presentation material, formation-classification tables, and graph-style reasoning links to the REE thesis work.","AI can help convert rock/mineral classification examples into labeled datasets, compare diagrams, explain spider diagrams and geochemical plots, and turn presentation figures into reusable training/evaluation material.","Chemical classification reference image, Chemical Rocks Thin Section Lab deck, formation classification CSV, and Gephi graph exports.",Strong supporting highlight,PowerPoint + image + CSV,"C:\Users\gargi\Downloads\AI_powerpoint_project_evidence\08_rock_classification_geochemistry\chemical_rocks_thin_section_lab_example.pptx",,"Embed the classification visual and use the deck as evidence for geoscience visualization and future ML classification workflows."
