key,project_key,category,title,linkedin_signal,linkedin_url,local_path,site_use,priority
profile_positioning,portfolio_profile,profile,LinkedIn profile positioning,"Profile headline frames the portfolio around geospatial AI, machine learning, energy, and subsurface systems.",https://www.linkedin.com/in/rohan-n-b42b29180/,"C:\Users\gargi\Downloads\AI_powerpoint_project_evidence\01_profile_handshake_ai\profile_rohan_nanda.pdf","Use for the site intro, about panel, and credibility framing.",high
handshake_ai,arcgis_raster_ml,experience,Handshake AI technical workflow role,"Profile experience describes QGIS, ParaView, Vagon recordings, rubric-based AI evaluation, raster/vector/GIS workflows, and technical task demonstrations.",https://www.linkedin.com/in/rohan-n-b42b29180/,"C:\Users\gargi\Downloads\AI_powerpoint_project_evidence\01_profile_handshake_ai\linkedin_profile_text.txt","Use as the direct explanation for how AI fits into the workflow portfolio.",high
thesis_video,thesis_knowledge_graph,video,Thesis knowledge graph walkthrough,"LinkedIn video post presents a short overview comparing Mountain Pass and Bayan Obo using knowledge graphs for paragenetic pathways and mineral-system architecture.",https://www.linkedin.com/feed/update/urn:li:activity:7434804738463842305,"C:\Users\gargi\Downloads\AI_powerpoint_project_evidence\02_thesis_knowledge_graph\thesis_knowledge_graph_walkthrough.mp4","Use as a featured video case study and proof of research-to-presentation storytelling.",high
thesis_deck,thesis_knowledge_graph,presentation,Thesis Ch.1 Presentation,"Local deck supports the LinkedIn thesis video and gives a PowerPoint-ready source for the rare-earth knowledge-graph story.",https://www.linkedin.com/feed/update/urn:li:activity:7434804738463842305,"C:\Users\gargi\Downloads\AI_powerpoint_project_evidence\02_thesis_knowledge_graph\thesis_ch1_presentation.pptx","Use as the slide/deck source behind the thesis knowledge-graph section.",high
processing_earthquake,processing_visuals,video,Verified LinkedIn earthquake globe video,"LinkedIn video post describes a 54-second Processing project using USGS earthquake data, a 3D globe, depth/magnitude visual encoding, and sound. Local original/export still needs to be added before embedding the actual video.",https://www.linkedin.com/feed/update/urn:li:activity:7132424234840068096,,"Use as a verified LinkedIn project highlight; embed the video after exporting/downloading the original media.",high
processing_geophysical_methods,processing_visuals,code,Processing geophysical methods sketch,"Local Processing sketch contains a geophysical-methods radial visualization concept with seismic, gravity, EM, MT, GPR, ERT, resistivity, porosity, and density ideas.",https://www.linkedin.com/in/rohan-n-b42b29180/recent-activity/videos/,"C:\Users\gargi\Downloads\AI_powerpoint_project_evidence\03_processing_earthquake_visualization\processing_geophysical_methods_sketch.pde","Use as code evidence for creative scientific visualization.",medium
earthscope_bootcamp,pondicherry,presentation visual,EarthScope SSBW seismology post,"LinkedIn image post highlights EarthScope Summer Seismology Bootcamp work with active/passive seismic data, calibration, noise filtering, wavefield imaging, and hazard monitoring.",https://www.linkedin.com/in/rohan-n-b42b29180/recent-activity/images/,"C:\Users\gargi\Downloads\AI_powerpoint_project_evidence\04_earthscope_seismology\earthscope_seismology_workshop.png","Use as supporting context for the Pondicherry and exploration-seismology sections.",high
earthscope_deck,exploration_seismology,presentation,EarthScope SSBW webinar deck,"Local webinar deck supports the seismology training evidence shown on LinkedIn.",https://www.linkedin.com/in/rohan-n-b42b29180/recent-activity/images/,"C:\Users\gargi\Downloads\AI_powerpoint_project_evidence\04_earthscope_seismology\earthscope_ssbw_module1_webinar.pptx","Use as a supporting source for seismic methods and training context.",medium
sage_valles_repost,valles_caldera,presentation,SAGE / Valles Caldera geophysics presentation,"LinkedIn activity includes SAGE/Valles geophysical mapping context around seismic, TEM, groundwater-fed wetlands, volcanic flows, bedrock barriers, and subsurface structure.",https://www.linkedin.com/in/rohan-n-b42b29180/recent-activity/all/,"C:\Users\gargi\Downloads\AI_powerpoint_project_evidence\05_sage_valles_geophysics\sage_arch_team_final_presentation.pptx","Use as the LinkedIn-backed connection between field geophysics, Valles outputs, and portfolio maps.",high
resume_geoscience_ai,portfolio_profile,profile,Geoscience and AI resume,"Resume evidence connects field geoscience, lab work, Java/API training, SAGE/GAGE field research, Handshake AI, and applied geospatial/software workflows.",https://www.linkedin.com/in/rohan-n-b42b29180/,"C:\Users\gargi\Downloads\AI_powerpoint_project_evidence\01_profile_handshake_ai\resume_geoscience_ai_onegeo.pdf","Use as the background section for why the projects combine geoscience, ML, visualization, and software.",high
rock_classification_visual,rock_classification,presentation visual,Chemical rock classification reference,"Local visual evidence for classifying rocks/minerals and explaining geochemistry through reference diagrams and structured visual examples.",https://www.linkedin.com/in/rohan-n-b42b29180/recent-activity/images/,"C:\Users\gargi\Downloads\AI_powerpoint_project_evidence\08_rock_classification_geochemistry\chemical_classification_task_reference.jpg","Use as an embedded visual for the rock-classification and geochemistry section.",high
thin_section_deck,rock_classification,presentation,Chemical Rocks Thin Section Lab deck,"PowerPoint evidence for mineral/rock classification, thin-section interpretation, and presentation-style geoscience communication.",https://www.linkedin.com/in/rohan-n-b42b29180/recent-activity/images/,"C:\Users\gargi\Downloads\AI_powerpoint_project_evidence\08_rock_classification_geochemistry\chemical_rocks_thin_section_lab_example.pptx","Use as the deck source behind the rock-classification section.",medium
gephi_knowledge_graph,thesis_knowledge_graph,data,Gephi knowledge graph exports,"GraphML plus Gephi node/edge CSVs show how thesis evidence was structured into graph data for comparison, clustering, and visual reasoning.",https://www.linkedin.com/feed/update/urn:li:activity:7434804738463842305,"C:\Users\gargi\Downloads\AI_powerpoint_project_evidence\02_thesis_knowledge_graph\mp_bayanobo_knowledge_graph.graphml","Use as data evidence for graph-based geoscience reasoning and future ML feature engineering.",high
linkedin_doe_mlef_wording,private_reference,private note,DOE/MLEF LinkedIn wording and media check,"May 16 sent email asks whether public wording around DOE/MLEF Alaska North Slope gas hydrate work is appropriate and pairs the DOE seal as the media cue.",,assets/gmail_updates/2026-06-11/linkedin_portfolio_notes/linkedin_doe_logo_inline.png,"Keep as private wording/source-review context only; do not display as North Slope topic evidence or imply DOE endorsement.",private
north_slope_visual_notes,north_slope,email notes,June 11 North Slope PowerPoint visual notes,"June 11 note says the North Slope slides need PowerPoint/source images, gas-hydrate explanation, structural explorer context, symbols, units, sources, normalized ranges, and geomechanics equations.",,assets/gmail_updates/2026-06-11/north_slope_powerpoint_visuals/north_slope_email_inline_04.png,"Use as the checklist for the hydrate intro, parameter cards, and PowerPoint-derived source evidence.",high
ai_portfolio_visual_notes,private_reference,private design note,June 11 AI portfolio visual notes,"June 11 note says the site is too wordy and needs diagram-first visuals, future-use ML architecture, Processing-style references, and source-backed vocabulary panels.",,assets/gmail_updates/2026-06-11/linkedin_portfolio_notes/visual_reference_01.png,"Keep as private design direction; public AI workflow evidence should use QGIS/Handshake sources and generated agent sketches.",private
portfolio_about_visual_notes,portfolio_profile,email notes,Portfolio about visual references,"June 11 note provided drawing, World Cup, Spotify, DOE, and profile/about references for replacing weak about-page imagery.",,assets/gmail_updates/2026-06-11/north_slope_powerpoint_visuals/north_slope_email_inline_07.png,"Use the drawing as the strongest public about/profile reference; keep licensed media references supporting until rights/context are clear.",medium
