"topic_slug","project_key","diagram_name","pipeline_shape","primary_ml_source","secondary_ml_source","ml_objective","source_evidence","validation_gates","track_in_diagram","status","next_action"
"ai_workflow","arcgis_raster_ml","Trace Factory","screenshots and recordings -> action traces -> supervised labels -> agent replay -> held-out task review","ML_Project_Reference_and_CreditScoreV4_Case_Notes.docx","s10596-022-10151-9.pdf as contrast for domain-specific supervised targets","learn reliable scientific software task execution from traces","QGIS screenshots; Vagon recordings; Handshake task evidence; rubrics","shortcut memorization; missing state; unsafe action; rubric ambiguity; held-out task replay","trace completeness; prompt id; rubric id; tool action; pass fail label; correction reason; replay success","in_site","Turn existing agent_training_trace visual into a detailed pipeline panel with held-out task validation"
"thesis_graph","thesis_knowledge_graph","Source-To-Graph AI Hub","papers and slides -> entity extraction -> source-backed edges -> GraphRAG review -> graph ML candidate","ML_Project_Reference_and_CreditScoreV4_Case_Notes.docx","","extract and rank source-backed relationships instead of predicting a numeric target","REE slides; Gephi exports; GraphML; Excel node edge tables; thesis figures","edge hallucination; duplicate entities; unsupported relationship; graph leakage; human edge audit","entity type; edge type; source evidence; confidence rank; reviewer status; graph query; schema validity","in_site","Add observed inferred conceptual and AI-suggested edge legend plus schema quality checks"
"processing_earthquake","processing_visuals","3D Visualization To Feature Table","USGS events -> globe and sound encoding -> time window features -> baseline model -> uncertainty warning","ML_Project_Reference_and_CreditScoreV4_Case_Notes.docx","","convert spatial and time events into validated feature windows, not unsupported forecasts","LinkedIn poster frame; Processing sketch; USGS event variables","look-ahead leakage; duplicate events; rare-event imbalance; spatial autocorrelation; visual overclaim","event source; pull date; coordinate cleanup; window definition; depth bins; magnitude bins; train test time boundary","in_site","Reframe diagram around chronological feature engineering and baseline evaluation"
"seismic","pondicherry","Seismic Notebook To QA Pipeline","catalog search -> waveform download -> station match -> arrival pick -> QA review -> velocity and uncertainty output","ML_Project_Reference_and_CreditScoreV4_Case_Notes.docx","s10596-022-10151-9.pdf for geoscience target/QC/transfer analogy","predict or score arrival-pick quality, waveform QA, and velocity uncertainty","VelocityAnalysisPalkStraight notebook; annotated seismic panels; EarthScope slides","station mismatch; weak signal; uncertain pick; bad metadata; human-reviewed pick","event id; station id; channel; pick time; uncertainty; SNR flag; reviewer decision; output provenance","in_site","Create waveform pick and uncertainty architecture panel with missingness and QA checks"
"north_slope","north_slope","Leakage-Safe Hydrate Architecture","public sources and logs -> QC -> train-only feature transforms -> well-held-out split -> Sgh regression and occurrence screening -> calibration -> geologic review","s10596-022-10151-9.pdf","ML_Project_Reference_and_CreditScoreV4_Case_Notes.docx","predict gas hydrate saturation Sgh from well logs and support hydrate screening","North Slope map; source library; wireline ML scaffold; dashboard model panels","target leakage; random depth-row split; missing logs; washout/outliers; lookalike signatures; calibration error","well id; depth point; density; porosity; gamma ray; resistivity; Vp; Vs; caliper washout flag; GLOSS outlier flag; NMR Sgh target; split policy; R2/MAE; abstention","in_site","Make this the first large detailed ML architecture diagram using paper-specific variables"
"rock_classification","rock_classification","Multimodal Rock Label Pipeline","thin sections and diagrams -> labels and metadata -> image text tabular features -> classifier -> expert label audit","ML_Project_Reference_and_CreditScoreV4_Case_Notes.docx","s10596-022-10151-9.pdf for feature-combination and QC analogy","classify or rank rock/mineral labels from image, chemistry, and text evidence","Chemical classification reference; thin-section slide; formation rasters; spider diagrams","weak labels; missing context; mixed definitions; correlated chemistry; overconfident label; expert audit","image asset; sample id; label source; scale context; chemical variables; VIF/correlation flag; model modality; correction; ambiguous bucket","in_site","Pair source visuals with label metadata, baseline model, and expert correction fields"
"valles","valles_caldera","Geophysical Disagreement Board","method outputs -> shared spatial frame -> method features and uncertainty -> agreement conflict labels -> review priority","ML_Project_Reference_and_CreditScoreV4_Case_Notes.docx","s10596-022-10151-9.pdf for geoscience transfer/QC analogy","rank agreement and conflict zones across survey methods","Bouguer map; free-air map; Moho map; SAGE deck images; ERT section","misregistration; acquisition artifact; method physics ignored; false consensus; conflict-zone review","method type; survey geometry; processing assumptions; registration status; completeness; consistency; uncertainty; conflict label; review priority","in_site","Build method-lane visual that separates noise, data issue, and real geologic signal"
"near_surface","near_surface_geophysics","Fen Method Fusion Cross-Section","hammer seismic and ERT and TEM -> line geometry -> method feature table -> agreement conflict ranking -> review targets","ML_Project_Reference_and_CreditScoreV4_Case_Notes.docx","","identify method agreement, conflict, and review targets at field-line scale","Near-Surface Dwellers deck; Valles fen context; hammer seismic; transient EM; ERT intersections","wrong intersection; lost field notes; unit drift; clean overlay overclaim; line-aware validation","line id; method id; intersection; velocity; resistivity; conductivity; possible unit; field-note completeness; conflict status","in_site","Add shallow cross-section lanes and leave-line-out validation note"
"moho_ml","moho_ml","Regional Transfer Evaluation","Australia training data -> gravity features -> model family comparison -> USA transfer test -> residual map -> risk checklist","ML_Project_Reference_and_CreditScoreV4_Case_Notes.docx","s10596-022-10151-9.pdf for cross-basin transfer framing","predict Moho depth and prove whether the model transfers across geography","aus.moho notebook; Moho map; machinelearningreport document","spatial leakage; biased split; variable mismatch; high score without transfer; residual failure zones","variable list; region id; train geography; test geography; model family; baseline score; residual map; leakage check; transfer score","in_site","Recover model variables and draw transfer test panel with baseline and residual review"
"ambient_noise","ambient_noise","Ambient Noise Monitoring Ladder","continuous records -> windows -> preprocessing -> station-pair CCF -> stable stack -> change metric -> alert review","ML_Project_Reference_and_CreditScoreV4_Case_Notes.docx","","triage stable correlations and monitoring anomalies over time","NoisePy deck; station pair slides; ambient noise visuals","weak correlation; seasonal noise; metadata error; data gap; instrument change; late data","station pair; window length; filter; stack count; CCF stability; freshness; seasonal flag; anomaly score; alert review decision","in_site","Add stable versus unstable CCF visualization with freshness and incident-response checks"
"stock_workflow","stock_dashboard","App Risk And Leakage Gate","saved ticker data -> past-only feature windows -> chronological split -> baseline -> challenger -> walk-forward test -> drift monitor -> claim gate","ML_Project_Reference_and_CreditScoreV4_Case_Notes.docx","CreditScoreV4 case section inside same source","evaluate time-based predictions and dashboard claims without future leakage","stockprediction2025 charts; GitHub Actions pipeline; Streamlit dashboard","future leakage; stale data; no baseline; ticker bias; drift; overclaiming predictions","refresh time; ticker universe; feature window; baseline score; challenger score; walk-forward result; PSI/drift metric; stale-data flag; claim status","in_site","Draw dashboard risk gate around existing stock chart assets using CreditScoreV4 incident vocabulary"
"sem_petrography","sem_petrography","Observation Vs Interpretation Gate","SEM crop -> visible label proposal -> expert correction -> literature link -> proxy claim gate -> accepted or blocked interpretation","ML_Project_Reference_and_CreditScoreV4_Case_Notes.docx","","separate visible label assistance from unsupported proxy interpretation","SEM deck; thin-section images; kaolinite examples; petrography slides","texture overclaim; detrital authigenic confusion; missing scale; proxy from image alone; literature review","image crop; scale bar; sample context; visible label; interpretation label; literature support; correction; proxy status; ambiguity flag","in_site","Separate visual observation labels from climate or reservoir interpretation"
